                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.33691,                0.31149,                0.89504,                0.81476,                0.70429,                0.72667,                0.61218,                0.82871,                 1.0089,                 1.4388,             0.00072604,             0.00072604,             0.00072604
                     37,                0.31886,                0.29381,                0.89124,                0.79219,                0.67747,                0.72725,                0.59109,                0.91148,                 1.2063,                  1.499,             0.00071504,             0.00071504,             0.00071504
                     38,                0.34244,                0.33323,                0.90699,                0.81223,                0.74974,                0.72282,                0.60674,                0.84603,                0.98162,                 1.4541,             0.00070404,             0.00070404,             0.00070404
                     39,                0.33894,                0.32068,                0.89599,                0.79359,                0.75044,                0.73267,                0.61973,                0.86427,                0.97984,                 1.4382,             0.00069304,             0.00069304,             0.00069304
                     40,                0.35158,                0.29967,                0.90043,                0.76374,                0.71728,                0.72034,                0.59147,                0.90342,                 1.0245,                 1.4846,             0.00068204,             0.00068204,             0.00068204
                     41,                0.34018,                0.30149,                0.89283,                0.80422,                 0.7738,                0.71864,                0.62045,                0.84099,                0.94681,                 1.4618,             0.00067104,             0.00067104,             0.00067104
                     42,                0.31213,                0.28606,                0.88134,                0.77815,                0.75436,                0.74406,                0.62592,                0.85347,                0.96112,                 1.4661,             0.00066005,             0.00066005,             0.00066005
                     43,                0.31364,                0.30165,                0.88657,                0.82019,                0.76704,                0.73863,                0.62761,                0.84584,                0.92555,                 1.4672,             0.00064905,             0.00064905,             0.00064905
                     44,                0.28648,                0.27376,                 0.8727,                0.79729,                0.75572,                0.73371,                0.61092,                0.85683,                0.95771,                  1.499,             0.00063805,             0.00063805,             0.00063805
                     45,                0.29621,                0.28828,                0.87799,                 0.8007,                0.77183,                0.72288,                0.61375,                0.86669,                 0.8735,                 1.5147,             0.00062705,             0.00062705,             0.00062705
                     46,                0.29342,                0.28327,                 0.8711,                0.80316,                0.76972,                0.74354,                 0.6295,                0.85554,                0.92026,                 1.4697,             0.00061605,             0.00061605,             0.00061605
                     47,                0.28527,                0.27549,                0.87222,                 0.8089,                0.77068,                0.73614,                0.62357,                0.84977,                0.94383,                 1.5494,             0.00060505,             0.00060505,             0.00060505
                     48,                0.29921,                  0.283,                 0.8772,                0.82394,                0.78099,                0.76991,                 0.6634,                0.81708,                0.89919,                 1.4065,             0.00059405,             0.00059405,             0.00059405
                     49,                0.28347,                0.26092,                0.87249,                0.79945,                0.71018,                0.74248,                0.62373,                0.88871,                 1.1197,                 1.5195,             0.00058305,             0.00058305,             0.00058305
